Date,Coal_RB_4800_FOB_London_Close_USD,Coal_RB_5500_FOB_London_Close_USD,Coal_RB_5700_FOB_London_Close_USD,Coal_RB_6000_FOB_CurrentWeek_Avg_USD,Coal_India_5500_CFR_London_Close_USD,Price_WTI,Price_Brent_Oil,Price_Dubai_Brent_Oil,Price_ExxonMobil,Price_NTPC,Price_Shenhua,tempmax_RB,tempmin_RB,temp_RB,dew_RB,humidity_RB,precip_RB,preciptype_RB,windspeed_RB,tempmax_Limpopo,tempmin_Limpopo,temp_Limpopo,dew_Limpopo,humidity_Limpopo,precip_Limpopo,preciptype_Limpopo,windspeed_Limpopo
6/17/2020,34.1,42,51.58,55.34,50.81,37.96,40.71,40.23,46.63,91.5,12.52,18.5,12.9,15.9,13.8,87.5,11.775,rain,14,15.1,4,9.7,5.2,75.4,0,,18.4
6/18/2020,34.1,42,51.58,55.34,50.81,38.84,41.51,40.63,46.92,92.7,12.88,16,12.8,14.3,13,91.8,29.916,rain,15.5,17,4,10,4.7,71.8,0.002,rain,13
6/19/2020,32.91,40.96,50.86,54.15,51.71,39.75,42.19,41.07,45.98,93,12.88,20.4,12.6,16.3,13.1,81.6,3.952,rain,11.5,18,7.2,11.5,4.9,67,0,,15.7
6/22/2020,32.91,40.96,50.86,54.15,51.71,40.46,43.08,41.12,46.42,95.3,12.52,33.9,14.1,19.6,15.7,78.8,0.001,rain,22.3,19.7,6,12.3,0.7,47.8,0,,18.4
6/23/2020,32.91,40.96,50.86,54.15,51.71,40.37,42.63,41.04,46.7,100.75,12.38,33,14.3,19.3,14.7,76.5,0,,15.1,20,4,11.2,1.2,55.7,0,,14.8
6/24/2020,32.91,40.96,50.86,54.15,51.71,38.01,40.31,40.64,44.5,97.05,12.2,25.2,13.6,18.6,12.4,68.8,0.001,rain,20.2,19.2,5,11.6,2.5,56.6,0,,14.6
6/25/2020,32.91,40.96,50.86,54.15,51.71,38.72,41.05,40.78,45.17,96.1,,27,16.1,20.2,13.9,68.3,0,,25.9,18,4.1,11.1,3.5,61.7,0,,12.8
6/26/2020,32.54,40.3,48.43,50.05,51.45,38.49,41.02,40.81,43.62,97,12.06,25.1,13.7,19.6,13.5,69.9,0.001,rain,26.6,18.2,5.9,12.3,3.8,59.6,0,,23.2
6/29/2020,32.54,40.3,48.43,50.05,51.45,39.7,41.71,40.8,44.32,94.9,12.16,23,14.3,18.8,13.2,71.1,0.2,rain,12.9,20,4,11.6,2.3,54.4,0,,9.4
6/30/2020,32.54,40.3,48.43,50.05,51.45,39.27,41.15,40.79,44.72,95.8,12.12,20.2,14.3,17.4,13.6,79,1.004,rain,28.4,19,5,11.5,4,62.9,0,,20.3
7/1/2020,32.54,40.3,48.43,50.05,51.45,39.82,42.03,42.26,43.71,93.6,,22.6,11.8,17.9,13,74.4,3.162,rain,23.4,15,4,9.5,5,74.5,0,,12.1
7/2/2020,32.54,40.3,48.43,50.05,51.45,40.65,43.14,43.2,44.08,93.4,12.76,25.1,10.7,18.1,12.7,72.2,0,,23,21,4,11.9,3.1,59.4,0,,13
7/3/2020,32.61,40.2,49.91,53.15,49.92,40.28,42.8,,,94.5,13.28,22.5,11.1,18.3,14.2,78,0,,19.1,24.7,6,14.6,0.1,43,0,,16.6
7/6/2020,32.61,40.2,49.91,53.15,49.92,40.63,43.1,42.89,44.39,95.2,13.92,31,12.1,20,15.3,76,0.042,rain,23.8,25,5,14.3,-5,30.3,0,,20.5
7/7/2020,32.61,40.2,49.91,53.15,49.92,40.62,43.08,43.09,43.24,92.55,13.9,31,16,21,12,58.1,0.397,rain,40.3,26,4,14.2,-2.7,37.7,0,,14.8
7/8/2020,32.61,40.2,49.91,53.15,49.92,40.9,43.29,43.29,43.14,91,13.9,21.5,14.3,18.3,12.4,69.2,0.258,rain,22,17.2,11,13.9,7.1,64.5,0,,26.8
7/9/2020,32.61,40.2,49.91,53.15,49.92,39.62,42.35,42.79,41.36,91.2,14.04,25.7,14.6,20.7,13,62.8,0,,30.6,19,10,13.4,7.6,69.5,0,,16.6
7/10/2020,33.5,40.83,50.12,53.56,51.16,40.55,43.24,43.4,42.65,90.4,13.56,29.5,18.3,23.7,12.1,49.6,0.089,rain,29.2,22,6,14.5,5.6,59.1,0,,20.5
7/13/2020,33.5,40.83,50.12,53.56,51.16,40.1,42.72,43.1,42.66,89.9,13.56,26.7,11.4,18.6,8.5,55.5,0,,27.4,20,1,10.4,-2.7,45,0,,16.6
7/14/2020,33.5,40.83,50.12,53.56,51.16,40.29,42.9,43.22,44.07,87.65,13.38,20.9,10.8,17,10.4,65.8,0.624,rain,36.9,22,4,13.5,-7.3,27.6,0,,31.4
7/15/2020,33.5,40.83,50.12,53.56,51.16,41.2,43.79,43.78,44.63,88.05,13.34,18.3,9.8,15.5,6.5,55.7,0.395,rain,38.5,16,4,9.8,-4.6,37.1,0,,20.5
7/16/2020,33.5,40.83,50.12,53.56,51.16,40.75,43.37,43.3,44.28,86.75,13.2,20.8,9.1,15.2,8.9,67.8,0.155,rain,12.2,17,0,8.3,-3.9,46.2,0,,14.8
7/17/2020,33.01,40.43,49.88,54.84,51.88,40.59,43.14,43,43.52,88.3,13.3,22.3,7,14.9,8.5,68.9,0,,14.7,22,-1,10.2,-6.2,38.6,0,,20.4
7/20/2020,33.01,40.43,49.88,54.84,51.88,40.81,43.28,43.05,42.5,87.15,13.66,24.4,10.8,17.6,11.9,71.8,0.199,rain,21.2,19.7,4,11,2,56.4,0,,13
7/21/2020,33.01,40.43,49.88,54.84,51.88,41.96,44.32,43.58,44.65,88.35,13.72,32,10.6,18.1,12.3,71,0,,27.7,22,3.9,11.7,2,56.7,0,,14.8
7/22/2020,33.01,40.43,49.88,54.84,51.88,41.9,44.29,43.62,43.61,90.35,13.5,33.9,14,19,13.4,72,0.001,rain,18.4,19,4,11,2.1,56.3,0,,12.2
7/23/2020,33.01,40.43,49.88,54.84,51.88,41.07,43.31,43.3,43.7,90.55,13.36,35,11.1,18.3,13.2,73.9,0.209,rain,18.4,18,3,10.7,2.9,61.1,0,,16.6
7/24/2020,32.56,40.01,49.17,53.33,50.61,41.29,43.34,43.28,43.43,89.4,13.12,35,12.6,18.3,14.2,77.9,0.416,rain,22.3,14,3,10.3,3.4,63.5,0,,13
7/27/2020,32.56,40.01,49.17,53.33,50.61,41.6,43.41,43.33,44.07,87.65,13.3,18.2,13.8,16.5,13.9,84.9,18.003,rain,24.5,17,5.2,11.8,3.1,56.4,0,,24.1
